AUC,AUPR,ACC,MCC,F1
0.9506,0.8622,0.9161,0.7173,0.7649
0.9499,0.8611,0.9159,0.7152,0.7618
0.9521,0.8642,0.9177,0.7214,0.7671
0.9529,0.8669,0.9175,0.72,0.765
0.9505,0.8606,0.9162,0.7158,0.7617
