AUC,AUPR,ACC,MCC,F1
0.9829,0.9641,0.9539,0.876,0.9062
0.9829,0.9632,0.9544,0.8774,0.9073
0.9844,0.966,0.9549,0.8786,0.9081
0.9842,0.9647,0.9537,0.8755,0.9059
0.9875,0.9704,0.959,0.8902,0.9173
