AUC,AUPR,ACC,MCC,F1
0.9185,0.9367,0.8445,0.6974,0.8482
0.9188,0.9384,0.8479,0.701,0.8536
0.9213,0.9382,0.8493,0.7055,0.8538
0.918,0.9338,0.8418,0.6909,0.8462
0.9186,0.9356,0.8438,0.6931,0.8494
