AUC,AUPR,ACC,MCC,F1
0.9561,0.9636,0.9029,0.8064,0.9009
0.9574,0.9626,0.8976,0.7954,0.8964
0.9544,0.959,0.8933,0.7868,0.8923
0.9583,0.9651,0.9014,0.8027,0.9009
0.9591,0.9663,0.8981,0.7966,0.8965
