AUC,AUPR,ACC,MCC,F1
0.6501,0.7225,0.5903,0.2216,0.5803
0.6809,0.7447,0.622,0.2735,0.625
0.6679,0.7326,0.6079,0.2416,0.6138
0.6624,0.7331,0.6028,0.2296,0.6103
0.6646,0.7223,0.6101,0.245,0.6171
