AUC,AUPR,ACC,MCC,F1
0.6197,0.5329,0.5995,0.1064,0.1744
0.5941,0.5084,0.5821,0.0337,0.125
0.6157,0.5203,0.6045,0.1321,0.1497
0.5866,0.4993,0.602,0.1174,0.1667
0.5905,0.4886,0.5896,0.0625,0.1176
