,AUC,AUPR,ACC,MCC,F1
0,0.7351,0.9141,0.7619,0.2611,0.8508
1,0.7407,0.9167,0.7442,0.2738,0.8351
2,0.7269,0.9128,0.7429,0.2474,0.8358
3,0.7366,0.9144,0.7609,0.2654,0.8498
4,0.7247,0.9088,0.7475,0.2535,0.8394
