,AUC,AUPR,ACC,MCC,F1
0,0.6032,0.6883,0.5796,0.1207,0.6555
1,0.5902,0.6759,0.5734,0.0962,0.6619
2,0.613,0.7011,0.58,0.1021,0.6758
3,0.6092,0.69,0.5819,0.1251,0.6577
4,0.598,0.6847,0.5752,0.0819,0.6809
