,AUC,AUPR,ACC,MCC,F1
0,0.5605,0.4623,0.5547,0.0269,0.3245
1,0.5522,0.4685,0.5821,0.0977,0.3869
2,0.5536,0.4681,0.5771,0.0628,0.2975
3,0.5673,0.4648,0.5647,0.0488,0.3346
4,0.5461,0.4757,0.5796,0.0758,0.3267
